Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,TDKMedia,Trans-It Drive 16GB,520,6.14,46,https://usb.userbenchmark.com/SpeedTest/3838/TDKMedia-Trans-It-Drive
USB,,Kingston,DT 100 G2 16GB,521,6.14,690,https://usb.userbenchmark.com/SpeedTest/2628/Kingston-DT-100-G2
USB,,hp,v165w 16GB,522,6.13,575,https://usb.userbenchmark.com/SpeedTest/4278/hp-v165w
USB,,Kingston,DT Locker 4GB,523,6.11,8,https://usb.userbenchmark.com/SpeedTest/4584/Kingston-DT-Locker
USB,,Verbatim,micro USB 2GB,524,6.07,3,https://usb.userbenchmark.com/SpeedTest/4441/Verbatim-micro-USB
USB,DT101G2/16GB,Kingston,DataTraveler 101 G2 USB 2.0 16GB,525,6.06,1318,https://usb.userbenchmark.com/SpeedTest/1422/Kingston-DT-101-G2
USB,,Kingmax,USB2.0 FlashDisk 32GB,526,6.03,59,https://usb.userbenchmark.com/SpeedTest/1856/Kingmax-USB20-FlashDisk
USB,,FLASH,Drive SM_USB20 8GB,527,5.92,126,https://usb.userbenchmark.com/SpeedTest/2194/FLASH-Drive-SM-USB20
USB,,TDKMedia,Trans-It Drive 8GB,528,5.88,253,https://usb.userbenchmark.com/SpeedTest/1784/TDKMedia-Trans-It-Drive
USB,,Corsair,Voyager Mini 8GB,529,5.85,59,https://usb.userbenchmark.com/SpeedTest/6502/Corsair-Voyager-Mini
USB,,hp,v210w 16GB,530,5.84,276,https://usb.userbenchmark.com/SpeedTest/3358/hp-v210w
USB,,hp,v220w 16GB,531,5.84,299,https://usb.userbenchmark.com/SpeedTest/2479/hp-v220w
USB,,TOSHIBA,TransMemory 8GB,532,5.83,4930,https://usb.userbenchmark.com/SpeedTest/1336/TOSHIBA-TransMemory
USB,,PNY,USB 2.0 FD 4GB,533,5.81,20,https://usb.userbenchmark.com/SpeedTest/6827/PNY-USB-20-FD
USB,,TDK,LoR TF10 16GB,534,5.8,168,https://usb.userbenchmark.com/SpeedTest/2836/TDK-LoR-TF10
USB,,Verbatim,STORE N GO 32GB,535,5.79,946,https://usb.userbenchmark.com/SpeedTest/6091/Verbatim-STORE-N-GO
USB,,,,536,5.79,241,https://usb.userbenchmark.com/SpeedTest/6298/
USB,,Lexar,JD FireFly 16GB,537,5.77,51,https://usb.userbenchmark.com/SpeedTest/5219/Lexar-JD-FireFly
USB,,,Verbatim 32GB,538,5.77,264,https://usb.userbenchmark.com/SpeedTest/3113/Verbatim
USB,,Freecom,DataBar USB2.0 8GB,539,5.73,41,https://usb.userbenchmark.com/SpeedTest/5402/Freecom-DataBar-USB20
USB,,,Verbatim 32GB,540,5.73,13,https://usb.userbenchmark.com/SpeedTest/5212/Verbatim
USB,AC906-16G-RWH,Adata,Classic C906 USB 2.0 16GB,541,5.72,626,https://usb.userbenchmark.com/SpeedTest/2098/ADATA-USB-Flash-Drive
USB,,Kingston,DT 101 G2 16GB,542,5.71,899,https://usb.userbenchmark.com/SpeedTest/2015/Kingston-DT-101-G2
USB,,hp,v195b 8GB,543,5.71,35,https://usb.userbenchmark.com/SpeedTest/4894/hp-v195b
USB,DT101G2/64GB,Kingston,DataTraveler 101 G2 USB 2.0 64GB,544,5.7,31,https://usb.userbenchmark.com/SpeedTest/12698/Kingston-DT-101-G2
USB,,TDKMedia,Trans-It Drive 16GB,545,5.69,16,https://usb.userbenchmark.com/SpeedTest/2772/TDKMedia-Trans-It-Drive
USB,,MUSHKIN,MKNUFDPR8GB 8GB,546,5.65,3,https://usb.userbenchmark.com/SpeedTest/2274/MUSHKIN-MKNUFDPR8GB
USB,,TDKMedia,Trans-It Drive 4GB,547,5.63,134,https://usb.userbenchmark.com/SpeedTest/5855/TDKMedia-Trans-It-Drive
USB,,Verbatim,Store n Go Drive 4GB,548,5.62,83,https://usb.userbenchmark.com/SpeedTest/5900/Verbatim-Store-n-Go-Drive
USB,,FLASH,Drive SM_USB20 4GB,549,5.6,171,https://usb.userbenchmark.com/SpeedTest/10702/FLASH-Drive-SM-USB20
USB,,Kingston,DT Micro 16GB,550,5.6,257,https://usb.userbenchmark.com/SpeedTest/5683/Kingston-DT-Micro
USB,,JetFlash,TS8GJFV30 8GB,551,5.59,20,https://usb.userbenchmark.com/SpeedTest/9327/JetFlash-TS8GJFV30
USB,,HP,v125w 4GB,552,5.58,265,https://usb.userbenchmark.com/SpeedTest/1613/HP-v125w
USB,,Kingston,DT 101 II 4GB,553,5.56,125,https://usb.userbenchmark.com/SpeedTest/9376/Kingston-DT-101-II
USB,,Imation,Nano Pro 4GB,554,5.54,85,https://usb.userbenchmark.com/SpeedTest/5707/Imation-Nano-Pro
USB,,SanDisk,U3 Titanium 2GB,555,5.53,64,https://usb.userbenchmark.com/SpeedTest/5939/SanDisk-U3-Titanium
USB,,Kingston,DT 101 G2 64GB,556,5.52,64,https://usb.userbenchmark.com/SpeedTest/6132/Kingston-DT-101-G2
USB,,Kingston,DT 101 II 8GB,557,5.49,456,https://usb.userbenchmark.com/SpeedTest/2808/Kingston-DT-101-II
USB,,Kingmax,USB2.0 FlashDisk 8GB,558,5.47,168,https://usb.userbenchmark.com/SpeedTest/3696/Kingmax-USB20-FlashDisk
USB,DTSE9H/16GB,Kingston,DataTraveler SE9 USB 2.0 16GB,559,5.46,876,https://usb.userbenchmark.com/Kingston-DataTraveler-SE9-USB-20-16GB/Rating/1402
USB,DT101G2/2GB,Kingston,DataTraveler 101 G2 USB 2.0 2GB,560,5.45,48,https://usb.userbenchmark.com/SpeedTest/15272/Kingston-DT-101-G2
USB,,hp,v165w 8GB,561,5.44,712,https://usb.userbenchmark.com/SpeedTest/1981/hp-v165w
USB,,Verbatim,STORE N GO 16GB,562,5.42,53,https://usb.userbenchmark.com/SpeedTest/11864/Verbatim-STORE-N-GO
USB,AC008-16G-RKD,Adata,Classic C008 USB 2.0 16GB,563,5.41,812,https://usb.userbenchmark.com/SpeedTest/3888/ADATA-USB-Flash-Drive
USB,,Sony,Storage Media 2GB,564,5.39,244,https://usb.userbenchmark.com/SpeedTest/2461/Sony-Storage-Media
USB,,LEXAR,JD FIREFLY 4GB,565,5.39,37,https://usb.userbenchmark.com/SpeedTest/5141/LEXAR-JD-FIREFLY
USB,,Kingston,DT 101 G2 16GB,566,5.39,134,https://usb.userbenchmark.com/SpeedTest/11315/Kingston-DT-101-G2
