Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,AMD,Radeon HD 7470M,459,2.22,393,https://gpu.userbenchmark.com/SpeedTest/9296/AMD-Radeon-HD-7470M
GPU,,Intel,HD 3000 (Desktop V1 1.1 GHz),460,2.19,3951,https://gpu.userbenchmark.com/SpeedTest/7649/IntelR-HD-Graphics-3000
GPU,,Nvidia,GeForce GT 610,461,2.18,28766,https://gpu.userbenchmark.com/SpeedTest/7736/NVIDIA-GeForce-GT-610
GPU,,Nvidia,GeForce 9600M-GT,462,2.18,2616,https://gpu.userbenchmark.com/SpeedTest/7707/NVIDIA-GeForce-9600M-GT
GPU,,ATI,Mobility Radeon HD 2600-XT,463,2.18,153,https://gpu.userbenchmark.com/SpeedTest/9915/ATI-Mobility-Radeon-HD-2600-XT
GPU,,Nvidia,Quadro FX 1600M,464,2.17,275,https://gpu.userbenchmark.com/SpeedTest/8782/NVIDIA-Quadro-FX-1600M
GPU,,Nvidia,GeForce 320M,465,2.14,336,https://gpu.userbenchmark.com/SpeedTest/9153/NVIDIA-GeForce-320M
GPU,,Nvidia,GeForce 8600 GT,466,2.13,6210,https://gpu.userbenchmark.com/SpeedTest/7659/NVIDIA-GeForce-8600-GT
GPU,,Intel,HD 3000 (Mobile V1 1.1/1.2 GHz),467,2.11,103353,https://gpu.userbenchmark.com/SpeedTest/7646/IntelR-HD-Graphics-3000
GPU,,ATI,HD 3650,468,2.11,2290,https://gpu.userbenchmark.com/SpeedTest/7982/ATI-Radeon-HD-3600
GPU,,Nvidia,Quadro FX 570M,469,2.1,309,https://gpu.userbenchmark.com/SpeedTest/9414/NVIDIA-Quadro-FX-570M
GPU,,AMD,Radeon HD 7400M,470,2.08,2810,https://gpu.userbenchmark.com/SpeedTest/7817/AMD-Radeon-HD-7400M
GPU,,AMD,Radeon HD 6470M,471,2.06,3194,https://gpu.userbenchmark.com/SpeedTest/7679/AMD-Radeon-HD-6470M
GPU,,AMD,Radeon HD 8330,472,2.04,4062,https://gpu.userbenchmark.com/SpeedTest/8155/AMD-Radeon-HD-8330
GPU,,Nvidia,GeForce 9600M-GS,473,2.02,573,https://gpu.userbenchmark.com/SpeedTest/9821/NVIDIA-GeForce-9600M-GS
GPU,,AMD,Radeon HD 6410D,474,2.01,1432,https://gpu.userbenchmark.com/SpeedTest/8199/AMD-Radeon-HD-6410D
GPU,,ATI,Mobility FireGL V5700,475,2,134,https://gpu.userbenchmark.com/SpeedTest/10460/ATI-Mobility-FireGL-V5700
GPU,,Nvidia,Quadro NVS 320M,476,2,112,https://gpu.userbenchmark.com/SpeedTest/8310/NVIDIA-Quadro-NVS-320M
GPU,,AMD,Radeon HD 7400G,477,1.97,198,https://gpu.userbenchmark.com/SpeedTest/10815/AMD-Radeon-HD-7400G
