Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HDS721680PLA380 80GB,785,28.7,1357,https://hdd.userbenchmark.com/SpeedTest/4750/Hitachi-HDS721680PLA380
HDD,,Hitachi,HTS545032B9A 320GB,786,28.7,106,https://hdd.userbenchmark.com/SpeedTest/5973/Hitachi-HTS545032B9A
HDD,,Maxtor,6L300S0 300GB,787,28.7,1189,https://hdd.userbenchmark.com/SpeedTest/2242/Maxtor-6L300S0
HDD,,Seagate,ST3250624AS 250GB,788,28.7,406,https://hdd.userbenchmark.com/SpeedTest/6831/ST3250624AS
HDD,,Hitachi,HTS722020K9SA00 200GB,789,28.6,114,https://hdd.userbenchmark.com/SpeedTest/10167/Hitachi-HTS722020K9SA00
HDD,,WD,WD3200BEVS-16VAT0 320GB,790,28.5,744,https://hdd.userbenchmark.com/SpeedTest/3173/WDC-WD3200BEVS-16VAT0
HDD,,Seagate,ST3300831AS 300GB,791,28.5,785,https://hdd.userbenchmark.com/SpeedTest/1777/ST3300831AS
HDD,,Seagate,ST3160215A 160GB,792,28.5,486,https://hdd.userbenchmark.com/SpeedTest/4962/ST3160215A
HDD,,Seagate,ST3160215AS 160GB,793,28.4,3004,https://hdd.userbenchmark.com/SpeedTest/3966/ST3160215AS
HDD,,WD,WD4000KD-00NAB0 400GB,794,28.4,104,https://hdd.userbenchmark.com/SpeedTest/2338/WDC-WD4000KD-00NAB0
HDD,,Seagate,ST3250823A 250GB,795,28.4,151,https://hdd.userbenchmark.com/SpeedTest/4671/ST3250823A
HDD,,Hitachi,HDT722525DLA380 250GB,796,28.4,1931,https://hdd.userbenchmark.com/SpeedTest/1390/HDT722525DLA380
HDD,,Hitachi,HTS545032B9A300 320GB,797,28.3,6912,https://hdd.userbenchmark.com/SpeedTest/1389/Hitachi-HTS545032B9A300
HDD,,Maxtor,6 L300S0 300GB,798,28.3,95,https://hdd.userbenchmark.com/SpeedTest/9919/Maxtor-6-L300S0
